,Province,Facilities Reporting,Admissions to Date,Died to Date,Discharged to date,Currently Admitted,Currently in ICU,Currently Ventilated,Currently Oxygenated,Admissions in Previous Day,Date,Eastern Cape,18,13219,3175,9918,55,8,5,5.1,0,Unnamed: 0,Unnamed: 1,Unnamed: 2,Currently Admitted 
192,Eastern Cape,18.0,13234.0,3178.0,9953.0,35.0,5.0,3.0,6.0,1.0,2021/11/22,,,,,,,,,,,,,,
193,Free State,20.0,11982.0,2135.0,9654.0,28.0,7.0,6.0,3.0,0.0,2021/11/22,,,,,,,,,,,,,,
194,Gauteng,94.0,72344.0,13790.0,57751.0,324.0,54.0,18.0,47.0,10.0,2021/11/22,,,,,,,,,,,,,,
195,KwaZulu-Natal,47.0,37395.0,6911.0,29926.0,166.0,29.0,15.0,42.0,1.0,2021/11/22,,,,,,,,,,,,,,
196,Limpopo,7.0,7627.0,1639.0,5849.0,4.0,0.0,0.0,1.0,0.0,2021/11/22,,,,,,,,,,,,,,
197,Mpumalanga,9.0,9580.0,1595.0,7891.0,12.0,1.0,1.0,0.0,0.0,2021/11/22,,,,,,,,,,,,,,
198,North West,13.0,10848.0,1609.0,8769.0,41.0,6.0,4.0,8.0,0.0,2021/11/22,,,,,,,,,,,,,,
199,Northern Cape,6.0,4729.0,794.0,3704.0,9.0,5.0,4.0,0.0,1.0,2021/11/22,,,,,,,,,,,,,,
200,Western Cape,44.0,32997.0,5699.0,26607.0,559.0,95.0,44.0,28.0,1.0,2021/11/22,,,,,,,,,,,,,,
201,Total,258.0,200736.0,37350.0,160104.0,1178.0,202.0,95.0,135.0,14.0,2021/11/22,,,,,,,,,,,,,,
202,Summary of reported COVID-19 admissions by hospital group,,,,,,,,,,2021/11/22,,,,,,,,,,,,,,
203,,44,33741.0,6446.0,26605.0,,96.0,,44.0,27.0,2021/11/23,,,,,,,,,,,Western Cape,0.0,,558.0
204,,94,72926.0,14345.0,57764.0,,53.0,,18.0,45.0,2021/11/23,,,,,,,,,,,Gauteng,18.0,,338.0
205,,47,37619.0,7132.0,29929.0,,28.0,,15.0,42.0,2021/11/23,,,,,,,,,,,KwaZulu-Natal,5.0,,167.0
206,,13,10954.0,1712.0,8771.0,,6.0,,4.0,9.0,2021/11/23,,,,,,,,,,,North West,1.0,,42.0
207,,18,13238.0,3178.0,9960.0,,5.0,,3.0,6.0,2021/11/23,,,,,,,,,,,Eastern Cape,2.0,,31.0
208,,20,12220.0,2373.0,9655.0,,7.0,,6.0,2.0,2021/11/23,,,,,,,,,,,Free State,0.0,,27.0
209,,9,9795.0,1811.0,7891.0,,1.0,,1.0,0.0,2021/11/23,,,,,,,,,,,Mpumalanga,0.0,,11.0
210,,6,4840.0,908.0,3701.0,,4.0,,3.0,0.0,2021/11/23,,,,,,,,,,,Northern Cape,0.0,,8.0
211,,7,7863.0,1875.0,5849.0,,0.0,,0.0,1.0,2021/11/23,,,,,,,,,,,Limpopo,0.0,,4.0
